package_name,download_count
azure-mgmt-containerregistry,2006085
geoip2,1464144
geopy,1269199
geographiclib,1103276
geopandas,519695
geojson,515605
geomet,336867
python-geohash,305044
geohash,294530
geocoder,212685
geoalchemy2,161705
pygeocoder,153293
maxminddb-geolite2,124712
pygeoip,93503
pygeohash,87205
python-geoip,80880
geohash2,80808
reverse-geocoder,78673
python-geoip-geolite2,71953
djangorestframework-gis,58173
c2cgeoportal-commons,50282
c2cgeoportal-admin,49899
c2cgeoportal-geoportal,49856
geog,49146
polygon-geohasher,47076
geoip,44381
c2cgeoform,41599
django-registration,41490
pgeocode,36383
georaptor,32709
docker-registry-client,31811
django-registration-redux,31623
robotframework-pageobjectlibrary,29079
arcgis,27709
pygeodesy,25909
geospark,22789
xtgeo,22757
geopyspark,20305
mygeotab,18588
geoh,17097
itk-registration,16864
pygeoif,16521
wsgiserver,15504
geonode,14398
registry,12861
geo-py,12726
geos,11876
geom3d,11812
geonamescache,11558
geodata,11204
geosolution,10550
django-geoposition,10487
python-schema-registry-client,10375
r53-register,10273
geomdl,9998
torch-geometric,9678
aristotle-metadata-registry,9401
ip2geotools,9169
py-geohex3,9129
reverse-geocode,8949
c2cgeoportal,8902
gis,8326
postgis,8186
geopytool,8137
ladybug-geometry,8015
django-rest-registration,7899
django-geonode-mapstore-client,7837
geosoup,7757
geofuns,7721
geobasesdev,7615
products-mimetypesregistry,7057
spherical-geometry,7011
plone-app-registry,6986
django-geojson,6980
geofinder,6821
python-geoip-geolite2-yplan,6627
hypothesis-geometry,6591
class-registry,6348
aio-geojson-client,6344
pygeoprocessing,6289
geolib,6111
django-geonode-client,6081
geopython,6060
scikit-spatial,6022
gisic,5951
gisdata,5947
geonode-user-messages,5943
geonode-oauth-toolkit,5906
aio-geojson-geonetnz-quakes,5790
geotext,5740
aio-georss-client,5703
geobases,5700
plone-registry,5648
geoserver-restconfig,5625
products-pluginregistry,5556
geonode-avatar,5533
aio-georss-gdacs,5405
products-resourceregistries,5353
georss-client,5308
geonode-announcements,5300
zope-principalregistry,5219
oe-geoutils,5210
geoalchemy,5090
geonode-dialogos,5059
aio-geojson-geonetnz-volcano,5035
pygeodiff,5016
plotly-geo,4994
python-registry,4975
s2geometry,4971
geolinks,4865
geot-cluster,4758
geobases3k,4751
geojson-client,4692
geohash-hilbert,4680
aio-geojson-nsw-rfs-incidents,4624
geosnap,4590
georss-generic-client,4569
gistools,4506
django-geoexplorer,4437
geobasespypy,4352
georss-ign-sismologia-client,4314
kml2geojson,4301
phx-class-registry,4211
hdx-scraper-geonode,4183
georss-qld-bushfire-alert-client,4171
eventregistry,4125
gbmgeometry,4113
uwgeodynamics,4103
geoparse,4096
geonode-django-activity-stream,4011
pygeotile,4005
rio-cogeo,3960
pvgeo,3942
pygeocodio,3885
geographica-longitude-async,3841
isogeo-pysdk,3827
censusgeocode,3776
geoarray,3775
django-graphql-geojson,3730
django-terra-geocrud,3649
geoplot,3629
edc-registration,3520
pygeotools,3480
geomeppy,3477
sregistry,3441
georasters,3398
eea-geotags,3279
mapactionpy-qgis,3271
stem-registration,3235
geoviews,3220
pogeo,3149
geopip,3138
geodaisy,3121
wagtailgeowidget,3059
geomstats,3029
spatialnc,2959
arcgis2geojson,2944
docker-registry-driver-jss,2862
geopackage-python,2861
dungeongenerator,2856
qgis-plugin-ci,2833
pygeogrids,2829
python-geoip-python3,2801
aegis-tools,2774
pyramid-georest,2761
geovoronoi,2744
python-gist,2730
adafruit-circuitpython-register,2683
pygeos,2640
geonomics,2626
geoformat,2616
pyrsgis,2596
gitlab-registry-usage,2595
pygeobase,2590
esgissue-client,2550
aio-geojson-flightairmap,2537
geotiler,2537
torchgeometry,2532
winregistry,2531
censusbatchgeocoder,2523
osm2geojson,2517
pygeoj,2516
geographica-longitude,2492
orange3-geo,2453
svgis,2453
zope-vocabularyregistry,2441
kagiso-django-auth,2430
geojson-utils,2409
geoio,2405
matrix-registration,2386
mzgeohash,2325
geokey,2315
epl-geometry,2310
configuration-registry,2308
geo-data-br,2290
gis-tools,2244
cimren-wkmeans-geo,2243
spatialpandas,2223
docker-registry-driver-qiniu,2219
gispython,2165
ocdsextensionregistry,2158
onegov-gis,2130
django-inspectional-registration,2128
qigeometry,2102
ctregistermicroserviceflask,2080
geojsonio,2066
django-geostore,2063
geodesign,2063
gisaxs-xpcs,2045
georinex,2037
topo2geo,2035
george,2029
cpc-geofiles,2023
pygeometry,2014
geojson2imdf,2001
geostatspy,1993
geolink-formatter,1993
upmd-schoolbus-registration-aggregator,1973
politico-civic-geography,1950
registryquery,1915
cpc-geoplot,1866
geofront-cli,1854
django-registry,1845
gitlab-registry-usage-rest,1832
geodataextent,1807
pageobject,1807
geomag,1766
geojsoncontour,1764
geoliberator,1753
geolocation-python,1752
jupyter-notebook-gist,1739
geologicaltoolbox,1737
geomac-wildfires,1697
geonode-agon-ratings,1697
registryaggregator,1684
django-geoexplorer-worldmap,1674
spatial-access,1653
gistory,1640
geoglows,1639
gecosistema-spatial,1635
django-geolocation-fields,1632
django-geoip2-extras,1628
python-omgeo,1619
orange3-geo-fork,1599
nagisa,1581
ziggeo,1577
django-geoip,1573
pygeopack,1569
spatialist,1551
herpetologist,1548
peek-plugin-gis-diagram,1542
pubgis,1537
geofront,1525
django-tasker-geobase,1524
govuk-country-register,1519
c4sfcensusgeocoder,1518
odoo11-addons-oca-stock-logistics-warehouse,1514
geobr,1502
dungeonsheets,1498
histcensusgis,1493
constructive-geometries,1491
geopandas-postgis,1482
geomdl-cli,1476
geonode-extract,1473
core-explore-keyword-registry-app,1463
boundlessgeo-schema,1455
django-munigeo,1455
arcgis-sdk,1448
geoana,1436
django-geo-db,1436
python-geotiepoints,1430
infi-registry,1427
django-codenerix-geodata,1409
geostring,1403
geomexp,1400
pygeode,1396
shapely-geojson,1385
odoo9-addon-delivery-carrier-label-postlogistics,1381
pageone,1378
robotframework-pageobjects,1344
geodistk,1342
klass-registry,1341
geobuf,1328
gwrucio-registrar,1324
hspatial,1310
wsgiservice,1305
django-ip-geolocation,1302
fdgis,1296
geobrickscommon,1296
django-arcgis-marketplace,1294
django-geoposition-2,1280
odoo9-addons-oca-stock-logistics-warehouse,1278
casepropods-family-connect-registration,1266
spatialde,1264
containerregistry-ccwienk,1253
core-main-registry-app,1253
ip2geotools-locator,1252
isogeo-export-xl,1242
django-geonames-place,1241
odoo10-addons-oca-stock-logistics-warehouse,1236
core-dashboard-registry-app,1236
geojson2fromto,1232
geodesiclinestogis,1228
geobricksrastercorrelation,1227
itk-twoprojectionregistration,1227
opengeode,1211
core-module-local-id-registry-app,1208
eralegis,1206
mlgeometry,1205
gis-metadata-parser,1202
core-module-fancy-tree-registry-app,1200
nd-service-registry,1199
spatialite,1199
core-curate-registry-app,1198
osgeo-easy,1198
core-module-status-registry-app,1191
gistat,1187
runregistry,1182
django-registration-email,1178
rgeocoder,1171
geojson-rewind,1169
dask-geomodeling,1163
fabgis,1155
capablerobot-usbregister,1154
django-socialregistration,1151
geobricksdistribution,1135
geoplotlib,1129
geonum,1127
geograpy,1124
geomagpy,1113
ip-geolocation-api,1113
odoo13-addon-base-location-geonames-import,1112
